ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
19729,HS684556,01/01/2011 01:33:00 AM,067XX S HALSTED ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,723,7,6,68,01A,1172129,1860226,2011,08/31/2022 04:51:30 PM,41.771907116,-87.644581938,"(41.771907116, -87.644581938)"
19730,HT100325,01/01/2011 04:50:00 AM,011XX W HOLLYWOOD AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,2022,20,48,77,01A,1167669,1938019,2011,08/31/2022 04:51:30 PM,41.985473908,-87.6586893,"(41.985473908, -87.6586893)"
20750,HW100867,01/01/2013 02:45:00 PM,045XX S CHAMPLAIN AVE,110,HOMICIDE,FIRST DEGREE MURDER,CHA PARKING LOT,true,false,221,2,4,38,01A,1181468,1875029,2013,09/18/2022 04:45:51 PM,41.812317533,-87.609891755,"(41.812317533, -87.609891755)"
20749,HW100288,01/01/2013 03:45:00 AM,007XX N NOBLE ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1215,12,27,24,01A,1166930,1904875,2013,09/18/2022 04:45:51 PM,41.894541113,-87.662361421,"(41.894541113, -87.662361421)"
20751,HW101015,01/01/2013 04:56:00 PM,058XX S SACRAMENTO AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,824,8,14,63,01A,1157377,1865810,2013,09/18/2022 04:45:51 PM,41.787541886,-87.698507299,"(41.787541886, -87.698507299)"
22245,HZ100096,01/01/2016 02:37:00 AM,046XX S ST LAWRENCE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,221,2,4,38,01A,1181038,1874434,2016,08/31/2022 04:51:30 PM,41.810694727,-87.611487306,"(41.810694727, -87.611487306)"
22246,HZ100342,01/01/2016 07:20:00 AM,019XX W GARFIELD BLVD,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,932,9,16,61,01A,1164142,1868187,2016,09/18/2022 04:45:51 PM,41.793924928,-87.673635921,"(41.793924928, -87.673635921)"
22247,HZ101042,01/01/2016 10:48:00 PM,061XX S SANGAMON ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,712,7,16,68,01A,1171029,1864080,2016,08/31/2022 04:51:30 PM,41.782507053,-87.648501678,"(41.782507053, -87.648501678)"
23059,JA100252,01/01/2017 05:19:00 AM,046XX N BROADWAY,110,HOMICIDE,FIRST DEGREE MURDER,TAVERN,true,false,1914,19,46,3,01A,1167937,1930954,2017,09/18/2022 04:45:51 PM,41.966081547,-87.657908498,"(41.966081547, -87.657908498)"
23060,JA100278,01/01/2017 06:18:00 AM,046XX W MONROE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1113,11,28,25,01A,1145395,1899159,2017,08/31/2022 04:51:30 PM,41.879290642,-87.741598513,"(41.879290642, -87.741598513)"
23757,JB100159,01/01/2018 02:46:00 AM,039XX W CORNELIA AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1732,17,30,21,01A,1149289,1922972,2018,08/31/2022 04:51:30 PM,41.944561251,-87.726681812,"(41.944561251, -87.726681812)"
23759,JB100839,01/01/2018 06:27:00 PM,047XX S PRINCETON AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,935,9,3,37,01A,1175089,1873464,2018,09/18/2022 04:45:51 PM,41.808168003,-87.633336457,"(41.808168003, -87.633336457)"
23761,JB101043,01/01/2018 10:40:00 PM,081XX S STONY ISLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,411,4,8,45,01A,1188344,1851279,2018,09/18/2022 04:45:51 PM,41.746984035,-87.585428696,"(41.746984035, -87.585428696)"
23758,JB100522,01/01/2018 11:33:00 AM,026XX N HAMPDEN CT,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1935,19,43,7,01A,1172664,1917743,2018,09/18/2022 04:45:51 PM,41.929726567,-87.64092074,"(41.929726567, -87.64092074)"
25699,JE100162,01/01/2021 03:48:00 AM,047XX S DR MARTIN LUTHER KING JR DR,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,224,2,3,38,01A,1179656,1873765,2021,09/18/2022 04:45:51 PM,41.808890677,-87.616576757,"(41.808890677, -87.616576757)"
25700,JE100715,01/01/2021 06:06:00 PM,048XX W FULTON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1532,15,28,25,01A,1143903,1901492,2021,08/31/2022 04:51:30 PM,41.885720773,-87.747018429,"(41.885720773, -87.747018429)"
26544,JF100233,01/01/2022 05:05:00 AM,050XX S STATE ST,110,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,true,false,224,2,3,38,01A,1177128,1871567,2022,09/18/2022 04:45:51 PM,41.802916644,-87.625915226,"(41.802916644, -87.625915226)"
26543,JF100284,01/01/2022 06:02:00 AM,060XX S BISHOP ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,713,7,16,67,01A,1167696,1864789,2022,08/31/2022 04:51:30 PM,41.784524829,-87.660701084,"(41.784524829, -87.660701084)"
26545,JF100403,01/01/2022 09:16:00 AM,010XX N HAMLIN AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1112,11,27,23,01A,1150862,1906603,2022,08/31/2022 04:51:30 PM,41.899612568,-87.721329475,"(41.899612568, -87.721329475)"
27282,JG100665,01/01/2023 01:37:00 PM,056XX S PRAIRIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,231,2,20,40,01A,1179003,1867661,2023,01/08/2023 03:47:29 PM,41.792155669,-87.619157821,"(41.792155669, -87.619157821)"
27283,JG100850,01/01/2023 04:40:00 PM,050XX W SUPERIOR ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1531,15,37,25,01A,1142680,1904504,2023,01/08/2023 03:47:29 PM,41.894008903,-87.751434582,"(41.894008903, -87.751434582)"
27280,JG100247,01/01/2023 04:56:00 AM,038XX S WALLACE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,915,9,11,60,01A,1172930,1879350,2023,01/08/2023 03:47:29 PM,41.824367732,-87.641081186,"(41.824367732, -87.641081186)"
27279,JG100101,01/01/2023 05:54:00 AM,021XX W DIVISION ST,110,HOMICIDE,FIRST DEGREE MURDER,TAVERN,true,false,1212,12,1,24,01A,1161945,1907967,2023,07/09/2023 04:49:18 PM,41.903131319,-87.68058344,"(41.903131319, -87.68058344)"
27281,JG100440,01/01/2023 09:46:00 AM,106XX S STATE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,512,5,34,49,01A,1178141,1834245,2023,01/08/2023 03:47:29 PM,41.700477811,-87.623329654,"(41.700477811, -87.623329654)"
19237,HS102143,01/02/2010 04:17:00 PM,110XX S LOWE AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,2233,22,34,49,01A,1173942,1831677,2010,09/18/2022 04:45:51 PM,41.693524794,-87.638780573,"(41.693524794, -87.638780573)"
19238,HS101859,01/02/2010 09:44:00 PM,057XX S LOOMIS BLVD,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,713,7,16,67,01A,1167976,1866692,2010,08/31/2022 04:51:30 PM,41.789740875,-87.659619818,"(41.789740875, -87.659619818)"
19736,HT101536,01/02/2011 01:39:00 AM,001XX W 75TH ST,110,HOMICIDE,FIRST DEGREE MURDER,CLUB,true,false,623,6,6,69,01A,1176502,1855255,2011,09/18/2022 04:45:51 PM,41.758168911,-87.628701252,"(41.758168911, -87.628701252)"
19737,HT101536,01/02/2011 01:39:00 AM,001XX W 75TH ST,110,HOMICIDE,FIRST DEGREE MURDER,CLUB,true,false,623,6,6,69,01A,1176502,1855255,2011,09/18/2022 04:45:51 PM,41.758168911,-87.628701252,"(41.758168911, -87.628701252)"
20224,HV101396,01/02/2012 02:22:00 AM,030XX W LAWRENCE AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1713,17,33,14,01A,1155053,1931730,2012,09/18/2022 04:45:51 PM,41.968479866,-87.705259739,"(41.968479866, -87.705259739)"
20227,HV101433,01/02/2012 05:15:00 AM,107XX S COTTAGE GROVE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,513,5,9,50,01A,1182247,1833951,2012,09/18/2022 04:45:51 PM,41.699577165,-87.608304224,"(41.699577165, -87.608304224)"
20226,HV102145,01/02/2012 05:53:00 PM,066XX S WOLCOTT AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,726,7,15,67,01A,1164829,1860636,2012,09/18/2022 04:45:51 PM,41.773189519,-87.671329907,"(41.773189519, -87.671329907)"
20225,HV102221,01/02/2012 05:58:00 PM,024XX E 78TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,421,4,7,43,01A,1194033,1853729,2012,09/18/2022 04:45:51 PM,41.75356945,-87.56450286,"(41.75356945, -87.56450286)"
20752,HW101960,01/02/2013 03:15:00 PM,124XX S UNION AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,523,5,34,53,01A,1173906,1822480,2013,08/31/2022 04:51:30 PM,41.668287557,-87.639183666,"(41.668287557, -87.639183666)"
